description,category,severity,source,label,augmented,scenario
اكتُشف أن مسؤول الخدمة في فرع الرياض يستخدم حسابه المميز للتحقق من البريد الإلكتروني وتصفح الإنترنت بشكل يومي، وهو ما يرفع بشكل كبير احتمالية التعرض لهجمات التصيد الاحتيالي. الحساب يمتلك صلاحيات رفع الامتيازات على الخوادم المحلية للفرع. تم رصد تنزيل أدوات برمجية غير معتمدة باستخدام هذا الحساب. السياسة الأمنية المعتمدة تنص صراحةً على حظر الاستخدام اليومي للحسابات المميزة. وتم توثيق الملاحظة في تقرير التدقيق.,PAM,High,data\imtithal_violations_latest.csv,3,True,
نفس المستخدم يعتمد وينفذ: المقاول الخارجي contractor_ibrahim_nasser حصل على صلاحيات إدارية واسعة في نظام إدارة الهوية والوصول (IAM) تشمل إنشاء المستخدمين وتعيين الأدوار في نفس الوقت. يُمكّنه ذلك من منح نفسه أو أطراف خارجية صلاحيات مرتفعة دون أي إشراف. العقد المبرم مع المقاول لا ينص على قيود فصل المهام.,SEGREGATION_OF_DUTIES,Critical,data\imtithal_violations_latest.csv,4,True,
"موظف في قسم عمليات التحويلات الدولية يستخدم كلمة مرور تم استخدامها سابقاً وأُعيد تدويرها للتحايل على سياسة عدم تكرار آخر 5 كلمات مرور. تم رصد النمط من خلال أداة التدقيق الأمني حيث يغير المستخدم كلمة المرور 5 مرات خلال يوم واحد ثم يعود للكلمة الأصلية. هذا السلوك يُبطل الغرض من سياسة تغيير كلمات المرور الدورية. الحساب يمتلك صلاحيات الوصول الموافقة على تحويلات تصل لـ 500,000 ريال. ويُصنَّف هذا كمخاطرة تشغيلية عالية.",WEAK_PASSWORD,Medium,data\imtithal_violations_latest.csv,7,True,
أثناء فحص IAM الأسبوعي، موظف مقاول خارجي باسم Ahmed Al-Rashidi يعمل في مشروع تطوير واجهة الإنترنت البنكي، ويمتلك حساباً بصلاحيات إدارية على خوادم الإنتاج في بيئة Core Banking. انتهى عقده رسمياً منذ 45 يوماً إلا أن حسابه لم يُغلق ولا تزال صلاحياته فعّالة. تم رصد آخر تسجيل دخول قبل أسبوعين مما يدل على استمرار الوصول غير المصرح به. هذه الحالة تمثل خطراً أمنياً بالغاً نظراً لوصول طرف خارجي إلى بيئات الإنتاج الحساسة.,EXCESSIVE_PRIVILEGES,Critical,data\imtithal_violations_latest.csv,1,True,
"ملاحظة امتثال مستخرجة من 2-1-6 (NCA_ECC_2018.pdf): Identity and Access Management 2-2 To ensure the secure and restricted logical access to information and technology assets in order to prevent unauthorized access and allow only authorized access for users which are necessary to accomplish assigned tasks. Objective Controls Cybersecurity requirements for identity and access management must be defined, documented and approved. ولم يُعثر على تذكرة موافقة مرتبطة.",PAM,Medium,legal_articles_from_pdfs.json,3,True,
"**معرف العملية:** P-039
    **اسم العملية:** معالجة الرواتب

    **وصف الحادثة:**
    في صباح يوم عمل اعتيادي، تم رصد تهديد من نوع 'هجوم حجب الخدمة (DDoS)' يستهدف 'خوادم قواعد البيانات'، وهو أحد الأصول الرئيسية لعملية 'معالجة الرواتب'. تشير التحليلات الأولية إلى أن هذا التهديد استغل 'تكوينات خاطئة'. الأثر المتوقع لهذا الحادث كبير، حيث أن العملية 'معالجة الرواتب' ذات حرجية 'حرج'، وتتطلب استعادة خلال 4.0 ساعة (RTO) مع فقدان بيانات لا يتجاوز 30 دقيقة (RPO). الحد الأقصى المقبول للانقطاع (MAO) هو 24 ساعة. مستوى الخطر المتأصل لهذا السيناريو يُقدر بـ 'حرج'.

    **إجراءات الاستجابة المبدئية (مستوحاة من خطة التعافي):**
    **1. إجراءات استباقية (قبل الحادثة - تم تطبيقها جزئياً):**
    - تطبيق أنظمة كشف التسلل ومنع التسلل (IDS/IPS).
    **2. إجراءات أثناء الأزمة (الاستجابة الفورية):**
    - التنسيق مع الجهات التنظيمية (SAMA, NCA) حسب متطلبات الإبلاغ.
    **3. إجراءات التعافي بعد الأزمة (الخطوات اللاحقة):**
    - اختبار وظائف الأنظمة المستعادة والتحقق من سلامة البيانات.

    **آلية التواصل المبدئية:**
    - **مسؤول التواصل:** فهد العتيبي (إدارة تكنولوجيا المعلومات)
    - **طريقة التواصل:** {'الطريقة': 'الخط الساخن', 'الرقم': '99000'}
    - **سبب التواصل:** التنسيق مع SAMA بشأن حادث مالي.

    **الخطر المتبقي المتوقع بعد الاستجابة:** منخفض جداً",PAM,High,data\bank_scenarios_import.csv,3,False,
"انتهاك فصل المهام SoD: تملك المستخدمة Nora Hassan في قسم الائتمان صلاحيات إدخال طلبات القروض وتقييم الجدارة الائتمانية والموافقة النهائية على القروض الصغيرة دون تدخل جهة أخرى. هذا التجميع للصلاحيات يعرّض البنك لمخاطر تضارب المصالح والموافقة على قروض غير مؤهلة. رُصدت موافقات على 12 قرضاً لعملاء ذوي سجلات ائتمانية سلبية خلال الشهرين الماضيين. الخسائر المحتملة تُقدّر بما يزيد على 450,000 ريال.",SEGREGATION_OF_DUTIES,High,data\imtithal_violations_latest.csv,4,True,
انتهاك فصل المهام SoD: Administrator الامتثال نورة الشمري تمتلك صلاحيات تعديل سجلات التدقيق (Audit Logs) في نظام Compliance Management إلى جانب دورها الأساسي في مراجعة تلك السجلات وإعداد التقارير الرقابية. يتيح هذا الوضع إمكانية التلاعب بأدلة المخالفات قبل رفعها للجهات الرقابية. تم اكتشاف اختلافات بين النسخ المحفوظة من سجلات التدقيق والنسخ المرفوعة في التقارير الدورية. يُعدّ هذا الوضع بالغ الخطورة لكونه يمس مباشرةً استقلالية وظيفة الامتثال ومصداقية التقارير المرفوعة لهيئة ساما.,SEGREGATION_OF_DUTIES,Critical,data\imtithal_violations_latest.csv,4,True,
"مسؤولة نظام الرواتب Noura Al-Zahrani في إدارة المالية تملك صلاحية تعديل بيانات الحسابات البنكية للموظفين (المستفيد) وصلاحية تشغيل ملف الرواتب الشهري وإرساله للتنفيذ دون موافقة مزدوجة. رُصد تعديل على الحساب البنكي لـ 6 موظفين قبل 48 ساعة من تشغيل ملف الرواتب ثم إعادته لأصله بعد الصرف. يُمثّل هذا نمطاً كلاسيكياً للاحتيال الداخلي. تُقدّر الخسارة المحتملة بأكثر من 200,000 ريال شهرياً. ويُصنَّف هذا كمخاطرة تشغيلية عالية.",SEGREGATION_OF_DUTIES,Critical,data\imtithal_violations_latest.csv,4,True,
سلوك مشبوه anomaly: عملية بنكية: تطبيق القروض عبر الإنترنت | القسم: القنوات الرقمية | حرجية: حرج | التهديد: كارثة طبيعية | نقطة الضعف: نقطة دخول واحدة للفشل | الأصول: أجهزة المستخدمين النهائية | RTO: 4.0h | RPO: 30m,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6,True,
الحساب مقاول خارجي يعمل لصالح شركة استشارات تقنية تم اكتشافه خاملاً لمدة 180 يوماً في نظام HR الخاص بالبنك. الحساب يحمل الامتيازات قراءة وكتابة على ملفات الموظفين والرواتب. لم تُجرَ أي مراجعة دورية لصلاحياته منذ الإنشاء. يكشف ذلك عن خلل واضح في عملية مراجعة صلاحيات المقاولين الخارجيين. ولم يُعثر على تذكرة موافقة مرتبطة.,STALE_ACCOUNT,High,data\imtithal_violations_latest.csv,5,True,
خلال اختبار اختراق داخلي، حساب استشاري خارجي اسمه David Morgan من شركة استشارات دولية انتهت مهمته قبل 25 يوماً لا يزال يملك وصولاً لنظام إدارة المخاطر RMS وبيانات نماذج رأس المال. الحساب مُمكَّن عبر اتصال VPN مخصص لا يزال نشطاً. تم رصد تنزيل تقارير نماذج Basel III الداخلية بعد تاريخ انتهاء المهمة. يُشكل هذا خطراً على سرية استراتيجية إدارة رأس المال والبيانات التنظيمية للبنك.,STALE_ACCOUNT,High,data\imtithal_violations_latest.csv,5,True,
عملية بنكية: البريد الإلكتروني الداخلي والتعاون | القسم: العمليات التقنية | حرجية: منخفض | التهديد: تسرب بيانات | نقطة الضعف: عدم وجود تشفير للبيانات | الأصول: تطبيقات الويب | RTO: 48.0h | RPO: 720m,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6,False,
حساب بدون 2FA رغم السياسة: حساب مقاول خارجي من شركة تطوير برمجيات يمتلك وصولاً مؤقتاً إلى بيئة الاختبار المتكاملة (UAT Environment) المتصلة بنظام الموارد البشرية ويفتقر إلى MFA. تبيّن أن صلاحية الحساب تجاوزت المدة المتفق عليها في العقد بمقدار 4 أشهر دون مراجعة. يُعدّ هذا الوضع خطيراً لأن بيئة UAT تحتوي على نسخ مُقنّعة جزئياً من بيانات موظفين حقيقيين. رُصد استخدام الحساب في تنزيل ملفات إعداد النظام التي تتضمن بيانات حساسة. ويتطلب إجراءً تصحيحياً خلال 30 يوماً.,MFA_MISSING,High,data\imtithal_violations_latest.csv,2,True,
في بيئة Core Banking الإنتاجية، تم اكتشاف أن حساب مدير النظام الرئيسي لنظام الصيرفة الأساسية يستخدم كلمة مرور تم تعيينها منذ أكثر من 730 يوماً دون أي تغيير. الكلمة المستخدمة هي 'Admin@1234' وهي تُعدّ من أكثر الكلمات شيوعاً وسهولة التخمين. يُشكّل هذا الحساب نقطة دخول حرجة لجميع عمليات النظام المصرفي الأساسي، مما يرفع مستوى الخطر إلى الحد الأقصى. تم رصد عدة محاولات دخول مشبوهة من عناوين IP خارجية على هذا الحساب خلال الأسبوع الماضي.,WEAK_PASSWORD,Critical,data\imtithal_violations_latest.csv,7,True,
عملية بنكية: نظام الصراف الآلي ونقاط البيع | القسم: الخدمات المصرفية الرقمية | حرجية: متوسط | التهديد: فشل الأجهزة | نقطة الضعف: عدم وجود تشفير للبيانات | الأصول: أنظمة الدفع الإلكتروني | RTO: 12.0h | RPO: 480m,SUSPICIOUS_BEHAVIOR,Medium,data\bank_scenarios_import.csv,6,False,
الحساب غير مستخدم منذ أشهر في AD: تم اكتشاف حساب مسؤول قاعدة بيانات يحمل اسم oracle_dba_retired مرتبط بموظف تقاعد قبل عامين لا يزال يمتلك صلاحيات الوصول DBA كاملة على قاعدة بيانات Core Banking الإنتاجية. كلمة المرور لم تتغير منذ إنشاء الحساب قبل أكثر من ثلاث سنوات. الحساب مُعفى من سياسات MFA المطبّقة حديثاً مما يجعله هدفاً سهلاً. هذا يمثل خطراً مباشراً على سلامة أهم قاعدة بيانات في البنك. ويتطلب إجراءً تصحيحياً خلال 30 يوماً.,STALE_ACCOUNT,Critical,data\imtithal_violations_latest.csv,5,True,
مستخدم في قسم الامتثال والمخاطر يستخدم كلمة مرور تم تعيينها افتراضياً عند إنشاء الحساب قبل 8 أشهر ولم يتم تغييرها قط. كلمة المرور الافتراضية من النوع المعروف (Welcome@2023) وهي شائعة الاستخدام في البيئات المصرفية. الحساب يملك صلاحية الوصول إلى تقارير مكافحة غسل الأموال وبيانات العملاء الحساسة. يمثل هذا خرقاً صريحاً لسياسة إدارة الهوية والوصول.,WEAK_PASSWORD,High,data\imtithal_violations_latest.csv,7,False,
مستخدم DBA نفّذ أوامر sudo على ATM Switch خارج نافذة الصيانة المجدولة.,PAM,High,,3,True,pam_251
انتهاك إدارة الحسابات المميزة: حساب root/admin واحد لعدة أشخاص في نفس الفريق.,PAM,High,,3,True,shared_admin_boost
انتهاك فصل المهام SoD: موظف الخزينة Khalid Mansour يتولى مهام تنفيذ صفقات الفوركس وتأكيدها مع الطرف المقابل وتسويتها المحاسبية في آنٍ واحد دون أي فصل لهذه المراحل الثلاث. يعني ذلك قدرته على إجراء صفقة بسعر صرف غير سوقي وتأكيدها ثم إخفاء الفرق في القيود المحاسبية. تم رصد 6 صفقات فوركس بمعدلات انحراف تزيد عن 0.5% عن السعر السوقي وقت التنفيذ. يتعارض هذا الوضع مع أفضل الممارسات المعمول بها في إدارة مخاطر الخزينة والمتطلبات التنظيمية لهيئة ساما.,SEGREGATION_OF_DUTIES,Critical,data\imtithal_violations_latest.csv,4,True,
"نقص في سجلات التدقيق audit trail: lOW CP-3  
MOD CP-3  
HIGH CP-3 (1)  
 
CP-4 CONTINGENCY PLAN TESTING AND EXERCISES  
 
Control: The organization:  
 
a ويُصنَّف هذا كمخاطرة تشغيلية عالية.",AUDIT_LOG_MISSING,Medium,pdf:NIST_SP_800_34_Contingency.pdf,0,True,
امتيازات DB/ERP أوسع من الحاجة: مقاول خارجي يعمل على مشروع تطوير واجهة الإنترنت البنكي تم منحه الأذونات VPN كاملة تتيح له الوصول لشبكة الإنتاج وبيئة التطوير والاختبار في آنٍ واحد. انتهت مدة عقد المقاول الأصلية منذ شهرين لكن حسابه لا يزال نشطاً وبصلاحياته الكاملة. رُصد دخول الحساب لبيئة الإنتاج مرتين بعد انتهاء العقد مما يمثل خطراً أمنياً بالغاً. وتم توثيق الملاحظة في تقرير التدقيق.,EXCESSIVE_PRIVILEGES,Critical,data\imtithal_violations_latest.csv,1,True,
عند مراجعة سجلات SIEM، حساب الخدمة المستخدم لتشغيل خدمة التحويلات المالية الآلية بين الفروع يستخدم كلمة مرور بسيطة مكونة من 8 أحرف فقط ولم تتغير منذ إطلاق التطبيق قبل 4 سنوات. تم تكوين هذه الكلمة في ملفات الإعداد (config files) بصيغة نص واضح دون تشفير. هذا الحساب يُجري عمليات مالية تلقائية تتجاوز قيمتها مليار ريال يومياً. يمثل هذا الوضع خطراً مزدوجاً يجمع بين ضعف كلمة المرور وكشفها في ملفات النظام.,WEAK_PASSWORD,Critical,data\imtithal_violations_latest.csv,7,True,
"نقص في سجلات التدقيق audit trail: controls related to 
data localization have 
been transferred from 
the document to the 
National 
Data 
Management Office 
(NDMO) at the Saudi 
Data and Artificial 
Intelligence 
Authority for as per 
the mandates, and 
entities must refer to 
the National Data 
Management Office 
regarding 
data 
localization 
before 
taking any action in 
this regard وتم توثيق الملاحظة في تقرير التدقيق.",AUDIT_LOG_MISSING,Medium,pdf:NCA_ECC_2024_EN.pdf,0,True,
"ملاحظة امتثال مستخرجة من DOC:SAMA_EN_5888_VER1:160 (SAMA_EN_5888_VER1.pdf): nd actioned. The SOC is often dedicated to the detection, investigation and potential response to indicators of compromise. The SOC works closely with, and disseminates, collated security-related information to other areas of the organization (e.g., the cyber security function, incident management team and IT service owners). Soft token A soft token (a.k.a. a virtual token) is a software version of a hard token. Soft tokens are typically generated by a central server that runs security software and sent to users' devices. Some hard tokens are used in combination with other security measures to further enhance security (known as multi-factor authentication). See also 'Hard token'. Strategy Refer to 'Cyber security strategy'. Threat Refer to 'Cyber security threat' Version 1.0 Page 56 of 56 ",MFA_MISSING,Medium,legal_articles_from_pdfs.json,2,False,
حساب مستخدم في نظام إدارة المخاطر يحمل صلاحيات إدخال نتائج اختبارات الضغط (Stress Testing) وفي الوقت ذاته صلاحيات اعتماد هذه النتائج ورفع التقارير المبنية عليها للإدارة العليا. يُفقد هذا الوضع مصداقية نتائج اختبارات الضغط واستقلالية عملية الاعتماد. تم رصد تعديل قيم مدخلات اختبار ضغط ورفع التقرير المبني عليها في نفس اليوم دون أي مراجعة مستقلة. هذا يُشكّل مخاطرة على دقة التقارير المرفوعة للجهات الرقابية.,SEGREGATION_OF_DUTIES,Medium,data\imtithal_violations_latest.csv,4,False,
"SIEM/logging gap: e-1 
Table F-1:  CP Control Implementation in the SDLC ...............................................................",AUDIT_LOG_MISSING,Medium,pdf:NIST_SP_800_34_Contingency.pdf,0,True,
امتيازات DB/ERP أوسع من الحاجة: حساب خدمة تكامل نظام الرواتب يمتلك صلاحيات Domain Admin على بيئة Active Directory بالكامل، بينما يحتاج فعلياً فقط للقراءة من وحدة تنظيمية محددة تخص موظفي الموارد البشرية. هذا الحساب لم يخضع لأي مراجعة دورية منذ إنشائه قبل ثلاث سنوات. وجود هذه الصلاحيات يتيح للمهاجم المحتمل التحكم الكامل بالبنية التحتية لتقنية المعلومات في حال اختراق هذا الحساب. ويتطلب إجراءً تصحيحياً خلال 30 يوماً.,EXCESSIVE_PRIVILEGES,Critical,data\imtithal_violations_latest.csv,1,True,
حساب مستخدم في قسم تقنية المعلومات يستخدم كلمة مرور 'P@ssword2022' منذ أكثر من عامين، وهي إحدى أشهر كلمات المرور التي يتم اختبارها في هجمات القاموس المتخصصة للقطاع المالي. اللافت أن هذا الموظف يملك صلاحيات إدارة Active Directory ومجموعات المستخدمين. تم اكتشاف أن الموظف يستخدم نفس الكلمة على حسابه الشخصي في مواقع التواصل الاجتماعي، مما يزيد من احتمالية تسريبها عبر اختراق خارجي.,WEAK_PASSWORD,Critical,data\imtithal_violations_latest.csv,7,False,
"بعد طلب فريق المخاطر، ملاحظة امتثال مستخرجة من DOC:SAMA_EN_5888_VER1:091 (SAMA_EN_5888_VER1.pdf): f brand protection measures to protect online services including social media. b. online, mobile and phone banking: 1. use of official application stores and websites (applicable for online and mobile banking); 2. use of detection measures and take-down of malicious apps and websites (applicable for online and mobile banking); Version 1.0 Page 32 of 56 3. use of sandboxing (applicable for online and mobile banking); 4. use of non-caching techniques (applicable for online and mobile banking); 5. use of communication techniques to avoid ‘man-in-the-middle’-attacks (applicable for online and mobile banking); 6. use of multi-factor authentication mechanisms: a. multi-factor authentication should be used during the registration process for the customer in order to use of electronic banking serv ويتطلب إجراءً تصحيحياً خلال 30 يوماً.",MFA_MISSING,Medium,legal_articles_from_pdfs.json,2,True,
"ضمن تقييم امتثال NCA ECC، ملاحظة امتثال مستخرجة من 0-73-4 (NIST_800_53.pdf): ], [SP 800-76-2], [SP 800-78-4], [SP 800-100], [IR 7874]. NIST SP 800-53, REV. 5                                                                                     SECURITY AND PRIVACY CONTROLS FOR INFORMATION SYSTEMS AND ORGANIZATIONS _________________________________________________________________________________________________ CHAPTER THREE PAGE 132 This publication is available free of charge from: https://doi.org/10.6028/NIST.SP.800-53r5 IA-2 IDENTIFICATION AND AUTHENTICATION (ORGANIZATIONAL USERS) Control:  Uniquely identify and authenticate organizational users and associate that unique identification with processes acting on behalf of those users. Discussion:  Organizations can satisfy the identification and authentication requirements by complying with the requirements in [HSPD",EXCESSIVE_PRIVILEGES,Medium,legal_articles_from_pdfs.json,1,True,
حساب بدون 2FA رغم السياسة: تم اكتشاف أن حساب مسؤول المنصة الرئيسي لنظام الصيرفة الأساسية (Core Banking System) غير مفعّل عليه المصادقة متعددة العوامل، مما يجعله عرضة لهجمات اختراق كلمة المرور. يمتلك هذا الحساب صلاحيات كاملة على قواعد البيانات والمعاملات المالية الحساسة. تم رصد عدة محاولات جلسة دخول مشبوهة من عناوين IP خارجية خلال الأسبوع الماضي دون أي طبقة حماية إضافية. يُشكّل هذا الوضع تهديداً مباشراً لسلامة البيانات المصرفية الجوهرية. وتم توثيق الملاحظة في تقرير التدقيق.,MFA_MISSING,Critical,data\imtithal_violations_latest.csv,2,True,
كلمة مرور ضعيفة أو قديمة: تم اكتشاف أن حساب المستخدم مدير النظام الرئيسي لنظام الصيرفة الأساسية (Core Banking) يستخدم كلمة مرور تم تعيينها منذ أكثر من 730 يوماً دون أي تغيير. كلمة المرور الحالية تتكون من 6 أحرف فقط وتحتوي على اسم الشركة متبوعاً برقمين، مما يجعلها عرضة لهجمات القاموس. هذا الحساب يتمتع بصلاحيات كاملة على قواعد البيانات الحساسة التي تحتوي على بيانات ملايين العملاء. تشكّل هذه المخالفة خطراً بالغاً على سرية البيانات المصرفية وسلامة العمليات المالية. وتم توثيق الملاحظة في تقرير التدقيق.,WEAK_PASSWORD,Critical,data\imtithal_violations_latest.csv,7,True,
كلمة مرور ضعيفة أو قديمة: حساب مدير تقنية المعلومات في الفرع الإقليمي يستخدم كلمة مرور مشتركة مع زميله السابق الذي غادر البنك منذ 4 أشهر. الكلمة المشتركة تم تداولها عبر رسالة واتساب غير مشفرة وما زالت سارية دون تغيير. الحساب يملك صلاحيات الوصول إدارة الشبكة المحلية وأجهزة الصراف الآلي في المنطقة. تم رصد تسجيلات دخول متزامنة من موقعين جغرافيين مختلفين في نفس الوقت. ويُصنَّف هذا كمخاطرة تشغيلية عالية.,WEAK_PASSWORD,Critical,data\imtithal_violations_latest.csv,7,True,
"Update the plan [Assignment: organization-defined frequency] and to address changes in 
federal privacy laws and policy and organizational changes and problems identified during 
plan implementation or privacy control assessments",AUDIT_LOG_MISSING,Medium,pdf:NIST_SP_800_53_Access.pdf,0,False,
"صلاحيات زائدة عن المطلوب وظيفياً: ملاحظة امتثال مستخرجة من 2-7-3 (NCA_ECC_Implementation_Guide.pdf): -2 Data and information classification and labeling mechanisms. Control implementation guidelines Guide to Essential Cybersecurity Controls (ECC) Implementation 98 Document Classification:  Public TLP: White • Define data and information classification and labelling requirements in accordance with policies issued by the National Data Management Office and documented in the cybersecurity requirements document and approved by the representative. • Form a taskforce between the cybersecurity function and the data management office in the organization. • Develop Data and information Classification and Labelling procedures. • Develop a methodology to classify data and information and its labelling mechanism must be developed, taking into account the main data classification principles issued by ويتطلب إجراءً تصحيحياً خلال 30 يوماً.",EXCESSIVE_PRIVILEGES,Medium,legal_articles_from_pdfs.json,1,True,
"سيناريو تعافي DRP-079: تهديد 'فشل نظام قاعدة البيانات' يؤثر على [أجهزة المستخدمين النهائية, تطبيقات الويب, أنظمة الدفع الإلكتروني]. إجراءات: تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية.",SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6,False,
حساب مسؤول الامتثال في إدارة مكافحة غسل الأموال يستخدم كلمة مرور تم رصدها ضمن قوائم كلمات المرور المسربة المتداولة في الإنترنت المظلم. الحساب يملك صلاحية الاطلاع على تقارير المعاملات المشبوهة STR وبيانات العملاء ذوي الخطورة العالية PEPs. تم اكتشاف الكلمة المسربة عبر خدمة مراقبة مخاطر التسريبات التي يشترك فيها البنك. الموظف يستخدم نفس كلمة المرور منذ أكثر من سنة.,WEAK_PASSWORD,Critical,data\imtithal_violations_latest.csv,7,False,
سلوك مشبوه anomaly: سيناريو تعافي DRP-095: تهديد 'هجوم سيبراني (برمجيات الفدية)' يؤثر على [شبكة المؤسسة]. إجراءات: تعطيل الوصول غير المصرح به. تقييم الأضرار الأولية وتحديد النظم والبيانات الأكثر حرجية. ولم يُعثر على تذكرة موافقة مرتبطة.,SUSPICIOUS_BEHAVIOR,High,data\bank_scenarios_import.csv,6,True,
حساب موظف مؤقت في قسم تقنية المعلومات تجاوز صلاحياته عدة مرات خلال فترة عمله دون تسجيل أي من هذه التجاوزات في سجلات التدقيق. نظام إدارة الهوية والوصول (IAM) لا يسجل الأنشطة التي تتم خارج نطاق الصلاحيات المحددة. تم اكتشاف الأمر فقط عند مراجعة يدوية للأذونات، وليس من خلال آليات التنبيه الآلي. انتهت فترة عمل الموظف المؤقت قبل اكتشاف المشكلة بـ 30 يوماً.,AUDIT_LOG_MISSING,High,data\imtithal_violations_latest.csv,0,False,
موظف في قسم الامتثال يستخدم كلمة مرور 'Compliance@123' التي تطابق النمط الأدنى المسموح به دون أي تعقيد حقيقي. تم اكتشاف أن الموظف يعيد استخدام نفس الكلمة على 7 أنظمة مختلفة بما فيها نظام إدارة المخاطر ونظام مكافحة غسل الأموال. انتهت صلاحية كلمة المرور منذ 45 يوماً إلا أن النظام لم يُجبره على التغيير بسبب خلل في سياسة إنفاذ كلمات المرور. حساب الموظف يملك صلاحية الاطلاع على تقارير الامتثال الحساسة وملفات العملاء.,WEAK_PASSWORD,High,data\imtithal_violations_latest.csv,7,False,
حساب خامل أو موظف مغادر: حساب مستخدم عادي لموظفة في قسم الامتثال اسمها سارة المطيري نُقلت إلى فرع آخر منذ 90 يوماً لكن حسابها القديم في نظام Compliance Reporting لا يزال نشطاً بكامل صلاحياتها السابقة. الحساب القديم يتيح الوصول إلى تقارير مكافحة غسل الأموال وملفات CTR و SAR الحساسة. تم رصد استخدام الحساب القديم جنباً إلى جنب مع حسابها الجديد في الفرع في نفس اليوم. يشكل ذلك انتهاكاً لمبدأ الحد الأدنى من الصلاحيات. ويُصنَّف هذا كمخاطرة تشغيلية عالية.,STALE_ACCOUNT,High,data\imtithal_violations_latest.csv,5,True,
يتمتع المستخدم Fahad Al-Rashidi في قسم تقنية المعلومات بصلاحية طلب التغييرات على البيئة الإنتاجية والموافقة عليها وتطبيقها بنفسه في نظام إدارة التغيير. يغيب بذلك أي دور لـ Change Advisory Board في الموافقة الفعلية. تم رصد 8 تغييرات طارئة طبّقها بدون مراجعة مستقلة خلال أسبوعين. هذا النمط يخفض جودة الرقابة على بيئة الإنتاج ويزيد مخاطر التوقف غير المخطط.,SEGREGATION_OF_DUTIES,High,data\imtithal_violations_latest.csv,4,False,
تمتلك مسؤولة الموارد البشرية سارة الحربي صلاحية إضافة موظفين جدد في نظام SAP HR وصلاحية تعديل بيانات الرواتب وصرفها في نفس الوقت. تم رصد إضافة 3 موظفين وهميين خلال الربع الأخير مع صرف رواتب لهم بشكل منتظم. هذا النوع من المخالفات يُمكّن من تنفيذ عمليات احتيال على الرواتب (Ghost Employee Fraud) دون كشف سريع. غياب الفصل بين صلاحيات التوظيف والصرف يُعدّ انتهاكاً صريحاً لمبدأ فصل المهام.,SEGREGATION_OF_DUTIES,Critical,data\imtithal_violations_latest.csv,4,False,
"في سيناريو بنكي واقعي، (6) PROTECTION OF AUDIT INFORMATION | READ-ONLY ACCESS  
Authorize read-only access to audit information to [Assignment: organization-defined 
subset of privileged users or roles]",EXCESSIVE_PRIVILEGES,Medium,pdf:NIST_SP_800_53_Access.pdf,1,True,
الحساب بدون 2FA رغم السياسة: تم اكتشاف أن حساب موظف في قسم الامتثال والرقابة يفتقر إلى تفعيل المصادقة متعددة العوامل رغم وصوله إلى تقارير مكافحة غسيل الأموال AML ونظام رصد المعاملات المشبوهة. يتعارض هذا الوضع مع متطلبات البنك المركزي المتعلقة بحماية بيانات الامتثال. رُصد الحساب يقوم بتنزيل كميات كبيرة من تقارير AML خلال فترة قصيرة دون آلية تحقق ثانوية. يُشكّل غياب MFA على هذا المستوى ثغرة مباشرة في منظومة الامتثال التنظيمي. ولم يُعثر على تذكرة موافقة مرتبطة.,MFA_MISSING,High,data\imtithal_violations_latest.csv,2,True,
خلال مراجعة تدقيق داخلية، حساب مستخدم في قسم تقنية المعلومات يستخدم كلمة مرور 'P@ssword2022' منذ أكثر من عامين، وهي إحدى أشهر كلمات المرور التي يتم اختبارها في هجمات القاموس المتخصصة للقطاع المالي. اللافت أن هذا الموظف يملك صلاحيات إدارة Active Directory ومجموعات المستخدمين. تم اكتشاف أن الموظف يستخدم نفس الكلمة على حسابه الشخصي في مواقع التواصل الاجتماعي، مما يزيد من احتمالية تسريبها عبر اختراق خارجي. وتم توثيق الملاحظة في تقرير التدقيق.,WEAK_PASSWORD,Critical,data\imtithal_violations_latest.csv,7,True,
موظفة خدمة العملاء نورة القحطاني في مركز الاتصال تستخدم كلمة مرور تقل عن المتطلبات الدنيا حيث تتكون من 7 أحرف فقط دون رموز خاصة وهو ما يقل عن الحد الأدنى المطلوب البالغ 10 أحرف. تم رصد أن النظام القديم المستخدم في مركز الاتصال لا يطبق سياسة التحقق من تعقيد كلمات المرور بسبب ثغرة في إعداداته. هذا الحساب يتيح الوصول لبيانات الحسابات البنكية للعملاء وإجراء عمليات تعديل على بيانات التواصل.,WEAK_PASSWORD,Medium,data\imtithal_violations_latest.csv,7,False,
حساب مستخدم عادي في قسم الموارد البشرية يصل إلى نظام HR الذي يحتوي على بيانات الرواتب ومعلومات الموظفين الشخصية دون تفعيل MFA، على الرغم من أن سياسة البنك الداخلية تُلزم بتفعيله على جميع أنظمة البيانات الحساسة. رصد فريق الأمن محاولة دخول فاشلة متعددة مما يُشير إلى محاولة اختراق محتملة لكلمة المرور. في غياب MFA أصبح الحساب هدفاً سهلاً لهجمات Brute Force أو Credential Stuffing. يخدم الحساب 450 موظفاً ويمتلك صلاحية تعديل بيانات الرواتب.,MFA_MISSING,High,data\imtithal_violations_latest.csv,2,False,
